No,Field,Name,Affiliation,Research Topic,Keywords,Webpages,Campus,LabURLOriginal,LabURLClean,LabHTTPStatus,LabError,LabTitle,LabEmail,LabSnippet
66,Biological Sciences,"Assoc. Prof. Oyama, Tokitaka",GS of Science,1. Circadian systems of photosynthetic organisms 2. Bioluminescence reporter systems 3. Plant-microbe interaction 4. Applications of duckweed plants,#Circadian Rhythm #Photoperiodism #Bioluminescence,http://www.biol.sc,Yoshida,http://www.biol.sc,http://www.biol.sc,,"Exception: ConnectionError: HTTPConnectionPool(host='www.biol.sc', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb1ae81f0>: Failed to resolve 'www.biol.sc' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
67,Biological Sciences,"Program-Specific Assoc. Prof. Begum, Nasim",GS of Medicine,Antibody Gene Recombination and Genome Instability in B cells,"#Epigenomics, #DNA repair, #RNA/DNA editing",https://www.ccii. med.kyoto- u.ac.jp/en/researc h/divisions- labs/department- of-immunology- and-genomic- medicine/,Yoshida,https://www.ccii. med.kyoto- u.ac.jp/en/researc h/divisions- labs/department- of-immunology- and-genomic- medicine/,https://www.ccii.med.kyoto-u.ac.jp/en/research/divisions-labs/department-of-immunology-and-genomic-medicine/,200.0,,"Department of Immunology and Genomic Medicine｜Research Divisions, Labs & Researchers｜Research｜Center for Cancer Immunotherapy and Immunobiology",recruit_ccii@mail2.adm.kyoto-u.ac.jp,"Department of Immunology and Genomic Medicine｜Research Divisions, Labs & Researchers｜Research｜Center for Cancer Immunotherapy and Immunobiology menu button Research Overview Research Divisions, Labs & Researchers Careers Overview Open Positions About Us Overview Networks Multipurpose Hall CCII Exhib..."
68,Biological Sciences,"Assoc. Prof. Carlton, Peter-mark",GS of Biostudies,Understanding molecular mechanisms regulating chromosome dynamics in meiosis using C. elegans germ cells as a model system,"#Chromosome Dynamics, Meiosis, High/super Resolution Microscopy, Live imaging #Quantitative Image Analysis, Genetics, CRISPR-Cas9 Genome Editing, C. Elegans #Genomic Sequence Analysis, DNA Repair, Homologous Recombination, Cell Cycle",https://www.carlto,Yoshida,https://www.carlto,https://www.carlto,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.carlto', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1b59880>: Failed to resolve 'www.carlto' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
69,Biological Sciences,"Prof. Harada, Hiroshi",GS of Biostudies,1. Tumor hypoxia 2. Cancer radioresistance 3. Cancer malignancy,#Hypoxia Response #Gene Network,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida,https://www.lif.ky oto- u.ac.jp/e/research/,https://www.lif.kyoto-u.ac.jp/e/research/,200.0,,"Research - Graduate School of Biostudies, Kyoto University",,"Research - Graduate School of Biostudies, Kyoto University Access Contact 日本語 Search About GSB Dean's greeting History Data of GSB Actions for gender equality Research Laboratories Division of Integrated Life Science Division of Systemic Life Science Research Results Awards Facilities Radiation Biol..."
70,Biological Sciences,"Prof. Kohchi, Takayuki",GS of Biostudies,1. Plant sex determination and differentiation 2. Molecular mechanisms of environmental responses in plants 3. Molecular basis of land plant evolution,#Sex Chromosome Evolution #Light Sensing and Signaling #Genetic and Epigenetic Regulation,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida,https://www.lif.ky oto- u.ac.jp/e/research/,https://www.lif.kyoto-u.ac.jp/e/research/,200.0,,"Research - Graduate School of Biostudies, Kyoto University",,"Research - Graduate School of Biostudies, Kyoto University Access Contact 日本語 Search About GSB Dean's greeting History Data of GSB Actions for gender equality Research Laboratories Division of Integrated Life Science Division of Systemic Life Science Research Results Awards Facilities Radiation Biol..."
71,Biological Sciences,"Prof. Oda, Yukako",GS of Biostudies,1. Induction and regulation of epithelial cell-cell adhesion 2. Control of invasive and metastatic cancers 3. Understanding of aging from intestinal barrier function,#Cancer #Cell–cell Adhesion #Physiologically Active Peptide,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida,https://www.lif.ky oto- u.ac.jp/e/research/,https://www.lif.kyoto-u.ac.jp/e/research/,200.0,,"Research - Graduate School of Biostudies, Kyoto University",,"Research - Graduate School of Biostudies, Kyoto University Access Contact 日本語 Search About GSB Dean's greeting History Data of GSB Actions for gender equality Research Laboratories Division of Integrated Life Science Division of Systemic Life Science Research Results Awards Facilities Radiation Biol..."
72,Biological Sciences,"Prof. Toju, Hirokazu",GS of Biostudies / Center for Living Systems Information Science (CeLiSIS),1. Ecosystem structure and dynamics 2. Plant-associated microbiomes 3. Fish-associated microbiomes 4. Metagenomics,#Microbiomes #Ecosystem Sustainability #Theoretical Ecology #Biodiversity,https://sites.google,Yoshida,https://sites.google,https://sites.google,,"Exception: ConnectionError: HTTPSConnectionPool(host='sites.google', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1c46220>: Failed to resolve 'sites.google' ([Errno 8] nodename nor servname provided, or not known)""))",,,nan
73,Biological Sciences,"Prof. Watanabe, Naoki",GS of Biostudies,1. Single-molecule imaging 2. Mechanotransduction 3. Drug paradox 4. Multiple disease marker detector,#Multiplexed Super- Resolution Microscopy #Tissue & Neural Remodeling #Cancer Drugs,http://www.pharm 2.med.kyoto- u.ac.jp/2_index.ht,Yoshida,http://www.pharm 2.med.kyoto- u.ac.jp/2_index.ht,http://www.pharm2.med.kyoto-u.ac.jp/2_index.ht,404.0,HTTP 404,,,nan
74,Biological Sciences,"Assoc. Prof. Yamano, Takashi",GS of Biostudies,Molecular biology of phase-separated organelles in aquatic photosynthesis,#Live-cell Imaging #Organelle #Phase Separation #Machine Learning,https://www.lif.ky oto- u.ac.jp/e/research/,Yoshida,https://www.lif.ky oto- u.ac.jp/e/research/,https://www.lif.kyoto-u.ac.jp/e/research/,200.0,,"Research - Graduate School of Biostudies, Kyoto University",,"Research - Graduate School of Biostudies, Kyoto University Access Contact 日本語 Search About GSB Dean's greeting History Data of GSB Actions for gender equality Research Laboratories Division of Integrated Life Science Division of Systemic Life Science Research Results Awards Facilities Radiation Biol..."
75,Biological Sciences,"Prof. Yasuhara, Takaaki",GS of Biostudies,"1. The molecular mechanisms of cellular stress response 2. Genomic instability induced by abnormal transcription-associated stresses 3. The stress responses mediated by phase separation of RNA-binding proteins 4. Disease-related genome abnormalities caused by aging 5. The fundamental mechanism of diseases, such as cancer and chromosomal anomaly",#Cellular Stress Response #Genomic Instability #Disease Mechanism,https://www.rbc.k yoto- u.ac.jp/genome_st,Yoshida,https://www.rbc.k yoto- u.ac.jp/genome_st,https://www.rbc.kyoto-u.ac.jp/genome_st,404.0,HTTP 404,,,nan
