No,Field,Name,Affiliation,Research Topic,Keywords,Webpages,Campus
1,Humanities,"Prof. Moriguchi, Yuka",GS of Human and Environmental Studies,"Science, technology and cultural Cold War in Asia",#Cold War #US #Asia,https://www.h.kyo,Yoshida
2,Humanities,"Prof. D'Souza, Rohan- Ignatius",GS of Asian and African Area Studies (ASAFAS),1. Digital transformation 2. Climate change 3. Environmental history of South Asia,#Environmental History #Digital Technology #Sustainability and Environmental Politics,https://www.globa,Yoshida
3,Humanities,"Prof. Ikegame, Aya",GS of Asian and African Area Studies (ASAFAS),1. Political anthropology 2. History and anthropology 3. South Asian studies,#India #Democracy and Religion #Power and Sovereignty #Discrimination #Tribal Arts and Museums,https://www.globa,Yoshida
4,Social Sciences,"Assoc. Prof. Asato, Wako",GS of Letters in Transcultural Studies,1. Migration 2. Welfare regime,#Migration #Social integration #Welfare,https://www.cats.b,Yoshida
5,Social Sciences,"Snr. Lec. /Jr. Assoc. Prof. Park, Joonha","Cognitive Psycology in Education, Graduate School of Education","Well-being, regional comparisons in East Asia, acculturation issues in Japanese society, environmental psychology","Psychology, Social psychology, Cultural psychology, Cross-cultural comparisons, East Asia",joonhapark.com,Yoshida
6,Social Sciences,"Program-Specific Assoc. Prof. Tashiro, Ai",Faculty of Integrated Human Studies/Graduate School of Human and Environmental Studies,Climate Change Impact on Human Health & Wellbeing Climate Anxiety,・Health Geography ・Environmental Psychology ・Environmental Determinants of Health,https://tashirolab.c,Yoshida
7,Social Sciences,"Prof. Ialnazov, Dimiter- savov",GS of Advanced Integrated Studies in Human Survivability (GSAIS),1. Transition from fossil fuels to renewable energy in emerging economies and developing countries 2. The impact of recent geopolitical conflicts on international trade and foreign direct investment 3. Corporate sustainability,"#Japan, EU, ASEAN, BRICS #Energy Policy #International Trade and Foreign Direct Investment #Sustainable Development",https://www.gsais.,Yoshida
8,Social Sciences,"Prof. Sekiyama, Takashi",GS of Advanced Integrated Studies in Human Survivability (GSAIS),1. International relations 2. Indo-Pacific regional studies 3. Global environmental politics,"#Japan, US, China, India #Politics & Economics #Climate Security",https://kdb.iimc.k yoto- u.ac.jp/profile/en. 6831daedbcd510 5d.html,Yoshida
9,Social Sciences,"Snr. Lec./ Jr. Assoc. Prof. Baars, Roger C.",GS of Global Environmental Studies,"New Pedagogies in Climate Change Education (place-based, emotional, serious games), Disaster Preparedness (gender, indigenous knowledge, teaching & learning), Pro-Environmental Lifestyles (behavior change, social practice theory, nature connectedness)","Climate Change Education, Disaster Preparedness, Pro- Environmental Lifestyles",,Yoshida
10,Social Sciences,"Prof. Usami, Makoto",GS of Global Environmental Studies (GSGES),1. Climate change mitigation/adaptation 2. Environmental awareness 3. Disaster management,#Environmental Policy #Environmental Politics #Social Psychology,https://www.envpo,Yoshida
11,Social Sciences,"Prof. Colpan, Asli M",GS of Management (GSM-KU),"Corporate strategy, corporate governance",#Emerging Economies #Business Groups #Female Directors,https://www.gsm.k,Yoshida
12,Social Sciences,"Assoc. Prof. Samaddar, Subhajyoti",Disaster Prevention Research Institute (DPRI),Disaster risk communication,#Risk Communication #Risk Perception #Early Warning #Implementation Science #Participatory Risk Governance,http://imdr.dpri.ky,Uji
13,Social Sciences,Snr. Lec. /Jr. Assoc. Prof. Igor de Almeida,Institute for the Future of Human Society,1. Cultural differences in psychology 2. Emotion 3. Diversity in psychological research,#Culture #Emotion #Diversity,https://culture- wellbeing.ifohs.ky,Yoshida
14,Mathematical and Physical Sciences,"Prof. Kawakami, Tetsuo",GS of Science,"1.Formation of HT to UHT metamorphic belts, partial melting of the crust and granite petrogenesis at convergent plate boundaries 2. Roles of fluids in crustal processes 3. Linking P-T-D path of metamorphic/igneous rocks with geochronology using zircon and monazite (Petrochronology)",#Metamorphism #Partial Melting #Petrochronology #Continental Crust,https://pet.kueps.k,Yoshida
15,Mathematical and Physical Sciences,"Prof. Naruse, Hajime",GS of Science,1. Turbidity current 2. Tsunamis 3. River Morphodynamics,#Numerical Modeling #Facies Analysis #Machine learning,http://turbidite.sec,Yoshida
16,Mathematical and Physical Sciences,"Prof. Sakajo, Takashi",GS of Science,1. Topological and geometric fluid mechanics 2. Mathematics of turbulence 3. Mathematical modeling of flow phenomena 4. Uncertainty quantification,#Vortex Dynamics #Topological Flow Data Analysis #Singular Formation in Solutions of Fluid Equations,https://www.math.,Yoshida
17,Mathematical and Physical Sciences,"Prof. Wang, Gonghui",Disaster Prevention Research Institute (DPRI),1. Initiation and movement mechanisms of landslides 2. Landslide risk assessment under abnormal weather condition and/or earthquake 3. Risk assessment of Landslide hazard chains,#Landslide #Geohazard Chains #Landslide Dam,https://landslide.d pri.kyoto- u.ac.jp/outline/,Uji
18,Mathematical and Physical Sciences,"Assoc. Prof. Croydon, David",Research Institute for Mathematical Sciences (RIMS) / GS of Science,Probability theory,#Random Walks #Random Graphs #Fractals,https://www.kurim,Yoshida
19,Mathematical and Physical Sciences,"Prof. Lee, Sungrimseirin",Institute for the Advanced Study of Human Biology (ASHBi) / Graduate School of Medicine,"Mathematical Medicine, Mathematical modeling, Data science","Mathematical Medicine, Mathematical modeling, Data science",https://ashbi.kyoto,Yoshida
20,Chemistry,"Prof. Kitagawa, Hiroshi",GS of Science,1) Low-dimensional electron systems 2) Solid-state protonics 3) High-entropy alloys 4) Molecular conductors and conducting MOFs,#Electronic Materials #HEA/HEO #MOFs #Molecular Conductor,http://kuchem.kyo,Yoshida
21,Chemistry,"Prof. Kageyama, Hiroshi",GS of Engineering,"Synthesis of mixed-anion compounds for functional properties (superconductivity, catalysis, battery, etc.)",#Materials Chemistry #New Materials Synthesis #Mixed Anion,http://www.ehcc.k,Katsura
22,Chemistry,"Prof. Uchimoto, Yoshiharu",GS of Human and Environmental Studies,"1. Electrochemical energy storage and conversion devices 2. Lithium ion batteries and post lithium- ion batteries 3. Proton exchange membrane fuel cells and water electrolysis 4. Advanced analysis technology using synchrotron radiation 3 Indian postdoctoral students are in this lab! Dr. Neha Thakur, Dr. Mukesh Kumar, Dr. Dipali Patil",#Elactrochemistry #Energy Devices and Systems #Advanced Analysis Technologies,https://www.uchi moto.jinkan.kyoto,Yoshida
23,Chemistry,"Prof. Saito, Kei",GS of Advanced Integrated Studies in Human Survivability (GSAIS),"1. Green chemistry, 2. Sustainable polymeric materials synthesis, 3. Life cycle assessments",#Green Chemistry #Polymer Chemistry #Circular Economy,https://www1.saito,Yoshida
24,Chemistry,"Prof. Mizuochi, Norikazu",Institute for Chemical Research (ICR),1. Quantum sensing and quantum information science by utilizing diamond and related materials 2. Material science including diamond synthesis and its characterization,#Diamond #NV Center #Quantum Sensor #Quantum Science,http://mizuochilab,Uji
25,Chemistry,"Prof. Nakamura, Masaharu",Institute for Chemical Research (ICR),1. Synthetic molecular transformation 2. Organic reaction chemistry 3. Synthetic methodology toward exploitation of chemical resources 4. Supramolecular metal catalyst,# Biomass Molecular Transformation # Green Chemistry # Forest Chemical Industry,https://www.scl.ky,Uji
26,Chemistry,"Prof. Uesugi, Motonari",Institute for Chemical Research (ICR) /Institute for Integrated Cell- Material Sciences (iCeMS),1. Small molecule discovery 2. Chemical immunology 3. Chemoproteomics,#Chemical Biology #Chemoproteomics,https://www.scl.ky,Uji
27,Chemistry,"Prof. Wakamiya, Atsushi",Institute for Chemical Research (ICR),1. Materials Chemistry 2. Physical Organic Chemistry 3. Photovoltaics,#Pi-conjugation Systems #Perovskite Solar Cells #Optelectronics,https://www.scl.ky,Uji
28,Chemistry,"Prof. Yamada, Hiroko",Institute for Chemical Research (ICR) / GS of Science,Organic functional materials,#Aromatic Compounds #Organic Semiconductors #Self Assembly,https://www.scl.ky,Uji
29,Engineering Sciences,"Prof. Abe, Takeshi",GS of Engineering,1. Lithium-ion batteries 2. Novel battery systems 3. Carbonaceous materials,#Electrochemistry #Material Chemistry,http://elech.kuic.k,Katsura
30,Engineering Sciences,"Prof. Hirayama, Tomoko",GS of Engineering,Improvement of friction and wear properties of machine elements,#Mechanical Engineering #Machine Elements #Tribology #Friction and Wear,http://www.elem. me.kyoto- u.ac.jp/index- j.html,Katsura
31,Engineering Sciences,"Snr. Lec. /Jr. Assoc. Prof. Inamasu, Hiroyuki",GS of Engineering,Resilient steel structures,#Design/Assessment/Enha ncement of seismic- resistant steel structures #Structural collapse simulations,http://www.steel.a,Katsura
32,Engineering Sciences,"Prof. Kim, Chul-Woo",GS of Engineering,1. Data assimilation 2. Stochastic system identification 3. Structural health monitoring of bridges,#Bayes #Bridge #Monitoring #Sensing #Unceratiany Quantification,http://infra.kuciv. kyoto- u.ac.jp/index.html,Katsura
33,Engineering Sciences,"Prof. Koike, Katsuaki",GS of Engineering,"1. Characterization and generation mechanism of mineral, geothermal, and groundwater resources 2. Resource exploration and assessment using geoinformatic, geological, geophysical, and geochemical methods",#Resource Geology #Spatial Modeling #Remote Sensing,https://www.geoen,Katsura
34,Engineering Sciences,"Snr. Lec. /Jr. Assoc. Prof. Komiyama, Yosuke",GS of Engineering,Timber construction and design,#Timber #Construction #Design,https://press.archi.,Katsura
35,Engineering Sciences,"Prof. Kurose, Ryoichi",GS of Engineering,1. Momentum/mass/heat transfer and reaction/combustion in turbulent flows 2. Particles/bubbles/droplets motions in turbulent flows 3. Turbulent structure and scalar (heat and mass) transfer across the gas-liquid interface 4. Analysis of complex turbulent flow fields generated by the motion of object,#Combustion #Turbulence #Multiphase Flows,http://www.tse.me,Katsura
36,Engineering Sciences,"Prof. Nishimura, Fumitake",GS of Engineering,"Environmental Engineering, especially Water Quality Engineering","#Wastewater Treatment, #Watershed Management, #Environmental Health Risk Control",https://www.eqc.k yoto- u.ac.jp/en/index.ht,Otsu
37,Engineering Sciences,"Prof. Onishi, Masamitsu",GS of Engineering,1. Governance of infrastructure industry 2. Disaster risk management,#Public Private Partnerships #Project Management #Decision-makings in Emergency,https://psa2.kuciv.,Katsura
38,Engineering Sciences,"Assoc. Prof. Schmoecker, Jan-dirk",GS of Engineering,"1. Bus operation models (simulation, analytical optimization models) 2. Crowding prediction with Wi-Fi data 3. Road space redesign modelling",#Network Modelling #Analysis of Trajectory Data #Transport Policy,"Jan-Dirk Schmö cker | Fujii Laboratory | Department of Urban Management, Kyoto University- schmocker",Katsura
39,Engineering Sciences,"Prof. Seki, Shu",GS of Engineering,Electronic/spintronic materials and nanomaterials,#Conductivity #Nano-optoelectronic Materials #Functional Molecules,http://www.molen g.kyoto- u.ac.jp/~moleng_ 06/index.php?lang,Katsura
40,Engineering Sciences,"Prof. Suzuki, Motofumi",GS of Engineering,Nanostructured thin films and their applications,#Oblique (or glancing) Angle Deposition #Surface Enhanced Raman Scattering #Marangoni Force,http://www.mpe.m,Katsura
41,Engineering Sciences,"Prof. Tsuchiya, Toshiyuki",GS of Engineering,Fabrication and application of micro / nano-scale machines,#Micro/ Nano Electromechanical Systems (MEMS/NEMS) #Nanoresonators,https://www.nms. me.kyoto-u.ac.jp/,Katsura
42,Engineering Sciences,"Prof. Yokokawa, Ryuji",GS of Engineering,Developing vascularized microphysiological systems (MPS) to 1) explore organ development mechanisms by replicating vascularized tissue environments 2) recapitulate disease conditions for drug discovery 3) model and analyze angiogenesis and vasculogenesis processes integrating machine learning,#Microphysiological Systems (MPS) #Machine Learning #Nano/micro Fabrications,https://www.mbsy s.me.kyoto- u.ac.jp/en/,Katsura
43,Engineering Sciences,"Prof. Fujihara, Masayuki",GS of Agriculture,1. Water resources engineering 2. Rural environmental engineering,#Computational Fluid Dynamics #Hydraulics #Fishway,https://www.wre.k,Yoshida
44,Engineering Sciences,"Prof. Fujisawa, Kazunori",GS of Agriculture,1. Geotechnical engineering 2. Dam engineering 3. Applied mechanics,#Soil-water Couped Problems #Inverse Analysis,https://www.agrifa,Yoshida
45,Engineering Sciences,"Assoc. Prof. Kawayama, Iwao",GS of Energy Science,1. Design and fabrication of advanced thin film batteries 2. Develop terahertz technology for energy materials and devices,#Thin Film #Battery #Terahertz,https://dpe.energy.,Yoshida
46,Engineering Sciences,"Prof. McLellan, Benjamin- craig",GS of Energy Science,1. Just resource and energy transitions to carbon neutrality 2. Resource supply security and requirements for future energy scenarios 3. Sustainability assessment of energy policy and technology,#Just transitions #Resources #Sustainable Energy Systems,https://eecon.ener gy.kyoto- u.ac.jp/en/,Yoshida
47,Engineering Sciences,"Assoc. Prof. Ogata, Seiichi",GS of Energy Science,1. Energy engineering 2. Energy and environmental economics 3. Corporate sustainability,"#Renewable Energy System Design #Agrivoltac Systems #Smart Energy Management,",https://researchma,Yoshida
48,Engineering Sciences,"Prof. Sagawa, Takashi",GS of Energy Science,"1. Materials designed of nanosized structures made of organic and inorganic composites 2. Electronic structural analyses of materials and characterization of their optical properties 3. Applications for photovoltaics (solar cells, photocatalysts, and so on), light- emitting devices, and/or others",#Photochemistry #Solid State Physics #Polymer Science,http://www.quante,Yoshida
49,Engineering Sciences,"Prof. Katsumi, Takeshi",GS of Global Environmental Studies (GSGES),Geotechnical & geoenvironmental engineering,#Sustainable Construction #Waste Geotechnics #Disaster Recovery,https://geotech.ge e.kyoto- u.ac.jp/index_e.ht ml,Yoshida
50,Engineering Sciences,"Prof. Higo, Yosuke",GS of Management (GSM-KU),1. Computational geomechanics 2. Geomechanics from micro to macro,#Numerical simulation #X-ray micro-CT #Soil-water coupled problems,http://geomechani cs.kuciv.kyoto- u.ac.jp/index_en.h,Yoshida
51,Engineering Sciences,"Prof. Tokita, Shigeki",Institute for Chemical Research (ICR),1. Ultrafast high-power mid-infrared laser sources 2. Coherent X-ray generation 3. Femtosecond lasers for industrial applications 4. The search for neutrinoless double beta decay 5. The search for dark matter,#Laser optics #Plasma physics #Experimental particle physics,https://en.laser.kui,Uji
52,Engineering Sciences,"Prof. Nagasaki, Kazunobu",Institute of Advanced Energy (IAE),1. Plasma physics 2. Fusion science 3. Plasma heating and diagnostics,#Physics #Plasma #Nuclear Fusion,http://www.iae.ky oto- u.ac.jp/plasma/en/ index_E.html,Uji
53,Engineering Sciences,"Prof. Ito, Yoshihiro",Disaster Prevention Research Institute (DPRI),1. Earthquake seismology 2. Marine seismology 3: Marine geodesy,#Subduction Zone #Megathrust Earthquake #Slow Earthquake #Disaster Mitigation,https://www.rcep. dpri.kyoto- u.ac.jp/yito/index-,Uji
54,Engineering Sciences,"Prof. Uzuoka, Ryosuke",Disaster Prevention Research Institute (DPRI) /GS of Engineering,Geo-disaster prediction and mitigation,#Landslide #Soil liquefaction #Multiphase computational geomechanics,https://sites.google,Uji
55,Engineering Sciences,"Prof. Hino, Masahiro",Institute for Integrated Radiation and Nuclear Science (KURNS),Neutron science with neutron optical technology,#Neutron Optics #Neutron Science #Neutron Sources,https://www.rri.ky,Kumatori
56,Informatics,"Assoc. Prof. Fukuda, Ellen Hidemi",GS of Informatics,1. Operations research 2. Continuous optimization,"#Nonlinear Optimization, #Conic Optimization, #Multiobjective Optimization",http://www- optima.amp.i.kyot,Yoshida
57,Informatics,"Prof. Hashimoto, Masanori",GS of Informatics,"Reliable integrated system design, Cryptographic engineering, Semiconductor sensor","VLSI, Physical security, Magnetic field sensing",https://vlsi.cce.i.k yoto-u.ac.jp/en/,Yoshida
