No,Field,Name,Affiliation,Research Topic,Keywords,Webpages,Campus,LabURLOriginal,LabURLClean,LabHTTPStatus,LabError,LabTitle,LabEmail,LabSnippet
1,Humanities,"Prof. Moriguchi, Yuka",GS of Human and Environmental Studies,"Science, technology and cultural Cold War in Asia",#Cold War #US #Asia,https://www.h.kyo,Yoshida,https://www.h.kyo,https://www.h.kyo,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.h.kyo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0928310>: Failed to resolve 'www.h.kyo' ([Errno 8] nodename nor servname provided, or not known)""))",,,
2,Humanities,"Prof. D'Souza, Rohan- Ignatius",GS of Asian and African Area Studies (ASAFAS),1. Digital transformation 2. Climate change 3. Environmental history of South Asia,#Environmental History #Digital Technology #Sustainability and Environmental Politics,https://www.globa,Yoshida,https://www.globa,https://www.globa,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.globa', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0928c40>: Failed to resolve 'www.globa' ([Errno 8] nodename nor servname provided, or not known)""))",,,
3,Humanities,"Prof. Ikegame, Aya",GS of Asian and African Area Studies (ASAFAS),1. Political anthropology 2. History and anthropology 3. South Asian studies,#India #Democracy and Religion #Power and Sovereignty #Discrimination #Tribal Arts and Museums,https://www.globa,Yoshida,https://www.globa,https://www.globa,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.globa', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb09145e0>: Failed to resolve 'www.globa' ([Errno 8] nodename nor servname provided, or not known)""))",,,
4,Social Sciences,"Assoc. Prof. Asato, Wako",GS of Letters in Transcultural Studies,1. Migration 2. Welfare regime,#Migration #Social integration #Welfare,https://www.cats.b,Yoshida,https://www.cats.b,https://www.cats.b,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.cats.b', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0914f40>: Failed to resolve 'www.cats.b' ([Errno 8] nodename nor servname provided, or not known)""))",,,
5,Social Sciences,"Snr. Lec. /Jr. Assoc. Prof. Park, Joonha","Cognitive Psycology in Education, Graduate School of Education","Well-being, regional comparisons in East Asia, acculturation issues in Japanese society, environmental psychology","Psychology, Social psychology, Cultural psychology, Cross-cultural comparisons, East Asia",joonhapark.com,Yoshida,joonhapark.com,https://joonhapark.com,200,,Culture and Society Lab,,Culture and Society Lab Home Lab Research themes 研究テーマ People Are you interested? Publications By Year By Topic (Selected) Contact For International Students Welcome to the Psychology of Culture and Society (PCS) Lab! 2024.09.02 2025.09.19 Our research focuses on how individuals from diverse groups ...
6,Social Sciences,"Program-Specific Assoc. Prof. Tashiro, Ai",Faculty of Integrated Human Studies/Graduate School of Human and Environmental Studies,Climate Change Impact on Human Health & Wellbeing Climate Anxiety,・Health Geography ・Environmental Psychology ・Environmental Determinants of Health,https://tashirolab.c,Yoshida,https://tashirolab.c,https://tashirolab.c,,"Exception: ConnectionError: HTTPSConnectionPool(host='tashirolab.c', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0a60c40>: Failed to resolve 'tashirolab.c' ([Errno 8] nodename nor servname provided, or not known)""))",,,
7,Social Sciences,"Prof. Ialnazov, Dimiter- savov",GS of Advanced Integrated Studies in Human Survivability (GSAIS),1. Transition from fossil fuels to renewable energy in emerging economies and developing countries 2. The impact of recent geopolitical conflicts on international trade and foreign direct investment 3. Corporate sustainability,"#Japan, EU, ASEAN, BRICS #Energy Policy #International Trade and Foreign Direct Investment #Sustainable Development",https://www.gsais.,Yoshida,https://www.gsais.,https://www.gsais.,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.gsais.', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb0a735e0>: Failed to resolve 'www.gsais' ([Errno 8] nodename nor servname provided, or not known)""))",,,
8,Social Sciences,"Prof. Sekiyama, Takashi",GS of Advanced Integrated Studies in Human Survivability (GSAIS),1. International relations 2. Indo-Pacific regional studies 3. Global environmental politics,"#Japan, US, China, India #Politics & Economics #Climate Security",https://kdb.iimc.k yoto- u.ac.jp/profile/en. 6831daedbcd510 5d.html,Yoshida,https://kdb.iimc.k yoto- u.ac.jp/profile/en. 6831daedbcd510 5d.html,https://kdb.iimc.kyoto-u.ac.jp/profile/en.6831daedbcd5105d.html,200,,"Sekiyama, Takashi(Kyoto University Graduate Division) | Activity Database on Education and Research, Kyoto University",,"Sekiyama, Takashi(Kyoto University Graduate Division) | Activity Database on Education and Research, Kyoto University Login Search for faculty members Search Advanced Search Search by organization Sekiyama, Takashi Kyoto University Graduate Division Professor Basic Information Research Education Adm..."
9,Social Sciences,"Snr. Lec./ Jr. Assoc. Prof. Baars, Roger C.",GS of Global Environmental Studies,"New Pedagogies in Climate Change Education (place-based, emotional, serious games), Disaster Preparedness (gender, indigenous knowledge, teaching & learning), Pro-Environmental Lifestyles (behavior change, social practice theory, nature connectedness)","Climate Change Education, Disaster Preparedness, Pro- Environmental Lifestyles",,Yoshida,,,,,,,
10,Social Sciences,"Prof. Usami, Makoto",GS of Global Environmental Studies (GSGES),1. Climate change mitigation/adaptation 2. Environmental awareness 3. Disaster management,#Environmental Policy #Environmental Politics #Social Psychology,https://www.envpo,Yoshida,https://www.envpo,https://www.envpo,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.envpo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb11ee580>: Failed to resolve 'www.envpo' ([Errno 8] nodename nor servname provided, or not known)""))",,,
11,Social Sciences,"Prof. Colpan, Asli M",GS of Management (GSM-KU),"Corporate strategy, corporate governance",#Emerging Economies #Business Groups #Female Directors,https://www.gsm.k,Yoshida,https://www.gsm.k,https://www.gsm.k,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.gsm.k', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb11eef10>: Failed to resolve 'www.gsm.k' ([Errno 8] nodename nor servname provided, or not known)""))",,,
12,Social Sciences,"Assoc. Prof. Samaddar, Subhajyoti",Disaster Prevention Research Institute (DPRI),Disaster risk communication,#Risk Communication #Risk Perception #Early Warning #Implementation Science #Participatory Risk Governance,http://imdr.dpri.ky,Uji,http://imdr.dpri.ky,http://imdr.dpri.ky,,"Exception: ConnectionError: HTTPConnectionPool(host='imdr.dpri.ky', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb11f78b0>: Failed to resolve 'imdr.dpri.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
13,Social Sciences,Snr. Lec. /Jr. Assoc. Prof. Igor de Almeida,Institute for the Future of Human Society,1. Cultural differences in psychology 2. Emotion 3. Diversity in psychological research,#Culture #Emotion #Diversity,https://culture- wellbeing.ifohs.ky,Yoshida,https://culture- wellbeing.ifohs.ky,https://culture-wellbeing.ifohs.ky,,"Exception: ConnectionError: HTTPSConnectionPool(host='culture-wellbeing.ifohs.ky', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb11eef40>: Failed to resolve 'culture-wellbeing.ifohs.ky' ([Errno 8] nodename nor servname provided, or not known)""))",,,
14,Mathematical and Physical Sciences,"Prof. Kawakami, Tetsuo",GS of Science,"1.Formation of HT to UHT metamorphic belts, partial melting of the crust and granite petrogenesis at convergent plate boundaries 2. Roles of fluids in crustal processes 3. Linking P-T-D path of metamorphic/igneous rocks with geochronology using zircon and monazite (Petrochronology)",#Metamorphism #Partial Melting #Petrochronology #Continental Crust,https://pet.kueps.k,Yoshida,https://pet.kueps.k,https://pet.kueps.k,,"Exception: ConnectionError: HTTPSConnectionPool(host='pet.kueps.k', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb11ee340>: Failed to resolve 'pet.kueps.k' ([Errno 8] nodename nor servname provided, or not known)""))",,,
15,Mathematical and Physical Sciences,"Prof. Naruse, Hajime",GS of Science,1. Turbidity current 2. Tsunamis 3. River Morphodynamics,#Numerical Modeling #Facies Analysis #Machine learning,http://turbidite.sec,Yoshida,http://turbidite.sec,http://turbidite.sec,,"Exception: ConnectionError: HTTPConnectionPool(host='turbidite.sec', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7f8fb11f77f0>: Failed to resolve 'turbidite.sec' ([Errno 8] nodename nor servname provided, or not known)""))",,,
16,Mathematical and Physical Sciences,"Prof. Sakajo, Takashi",GS of Science,1. Topological and geometric fluid mechanics 2. Mathematics of turbulence 3. Mathematical modeling of flow phenomena 4. Uncertainty quantification,#Vortex Dynamics #Topological Flow Data Analysis #Singular Formation in Solutions of Fluid Equations,https://www.math.,Yoshida,https://www.math.,https://www.math.,,"Exception: ConnectionError: HTTPSConnectionPool(host='www.math.', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f8fb1201250>: Failed to resolve 'www.math' ([Errno 8] nodename nor servname provided, or not known)""))",,,
